audio_id,actual_class,python_pred,python_conf,gtm_pred,gtm_conf,class_match,conf_difference,python_correct,gtm_correct
SS00723,background_noise,background_noise,92.33,background_noise,78.75,yes,13.58,yes,yes
SS00738,alarm_siren,alarm_siren,96.79,alarm_siren,44.0,yes,52.79,yes,yes
SS00742,alarm_siren,alarm_siren,97.63,alarm_siren,52.5,yes,45.13,yes,yes
SS00746,animal_sound,animal_sound,76.91,aggression,20.25,no,56.66,yes,no
SS00747,animal_sound,animal_sound,43.93,animal_sound,42.25,yes,1.68,yes,yes
SS00762,animal_sound,animal_sound,87.13,animal_sound,56.0,yes,31.13,yes,yes
SS00775,background_noise,background_noise,94.16,background_noise,87.75,yes,6.41,yes,yes
SS00776,background_noise,aggression,18.73,person_asking_for_help,42.75,no,24.02,no,no
SS00778,machinery_fault,aggression,52.02,glass_breaking,27.0,no,25.02,no,no
SS00787,animal_sound,animal_sound,97.26,animal_sound,50.75,yes,46.51,yes,yes
SS00789,background_noise,background_noise,72.23,background_noise,26.75,yes,45.48,yes,yes
SS00794,machinery_fault,machinery_fault,88.48,machinery_fault,73.75,yes,14.73,yes,yes
SS00805,vehicle_horn,vehicle_horn,80.12,animal_sound,30.0,no,50.12,yes,no
SS00806,background_noise,background_noise,89.89,background_noise,62.5,yes,27.39,yes,yes
SS00814,animal_sound,animal_sound,82.75,animal_sound,58.75,yes,24.0,yes,yes
SS00822,animal_sound,person_asking_for_help,51.07,person_asking_for_help,40.0,yes,11.07,no,no
SS00837,background_noise,background_noise,54.93,animal_sound,32.25,no,22.68,yes,no
SS00841,background_noise,background_noise,97.81,background_noise,43.25,yes,54.56,yes,yes
SS00848,vehicle_horn,background_noise,39.41,background_noise,34.75,yes,4.66,no,no
SS00851,animal_sound,animal_sound,98.81,animal_sound,66.75,yes,32.06,yes,yes
SS00865,background_noise,glass_breaking,86.47,glass_breaking,87.0,yes,0.53,no,no
SS00867,machinery_fault,machinery_fault,85.72,machinery_fault,60.75,yes,24.97,yes,yes
SS00868,machinery_fault,machinery_fault,59.16,machinery_fault,35.25,yes,23.91,yes,yes
SS00871,animal_sound,animal_sound,98.86,animal_sound,63.25,yes,35.61,yes,yes
SS00874,animal_sound,alarm_siren,18.34,animal_sound,32.25,no,13.91,no,yes
SS00896,animal_sound,glass_breaking,60.88,animal_sound,29.5,no,31.38,no,yes
SS00899,machinery_fault,machinery_fault,79.09,machinery_fault,67.25,yes,11.84,yes,yes
SS00902,machinery_fault,animal_sound,74.63,background_noise,33.75,no,40.88,no,no
SS00911,animal_sound,animal_sound,64.76,person_asking_for_help,42.75,no,22.01,yes,no
SS00917,animal_sound,alarm_siren,65.36,person_asking_for_help,49.5,no,15.86,no,no
SS00923,animal_sound,animal_sound,99.51,animal_sound,84.75,yes,14.76,yes,yes
SS00932,animal_sound,animal_sound,93.55,animal_sound,39.75,yes,53.8,yes,yes
SS00937,animal_sound,animal_sound,98.38,animal_sound,27.75,yes,70.63,yes,yes
SS00941,alarm_siren,alarm_siren,96.55,alarm_siren,37.25,yes,59.3,yes,yes
SS00943,alarm_siren,alarm_siren,35.58,alarm_siren,22.25,yes,13.33,yes,yes
SS00955,alarm_siren,animal_sound,60.5,animal_sound,61.25,yes,0.75,no,no
SS00964,background_noise,background_noise,96.72,background_noise,33.75,yes,62.97,yes,yes
SS00975,machinery_fault,machinery_fault,97.81,machinery_fault,46.0,yes,51.81,yes,yes
SS00986,background_noise,background_noise,94.68,background_noise,86.5,yes,8.18,yes,yes
SS00992,background_noise,background_noise,99.29,background_noise,91.25,yes,8.04,yes,yes
SS00995,background_noise,background_noise,65.31,background_noise,40.75,yes,24.56,yes,yes
SS01006,background_noise,background_noise,95.96,background_noise,73.75,yes,22.21,yes,yes
SS01008,animal_sound,animal_sound,56.19,animal_sound,48.25,yes,7.94,yes,yes
SS01010,animal_sound,machinery_fault,84.73,machinery_fault,59.5,yes,25.23,no,no
SS01011,animal_sound,animal_sound,54.15,machinery_fault,50.25,no,3.9,yes,no
SS01033,background_noise,background_noise,78.28,background_noise,60.0,yes,18.28,yes,yes
SS01039,background_noise,background_noise,69.89,glass_breaking,29.0,no,40.89,yes,no
SS01045,machinery_fault,machinery_fault,93.13,machinery_fault,50.5,yes,42.63,yes,yes
SS01072,animal_sound,animal_sound,97.61,animal_sound,63.0,yes,34.61,yes,yes
SS01079,background_noise,background_noise,67.95,background_noise,35.0,yes,32.95,yes,yes
SS01080,background_noise,background_noise,67.14,background_noise,30.25,yes,36.89,yes,yes
SS01093,machinery_fault,machinery_fault,91.14,animal_sound,27.75,no,63.39,yes,no
SS01098,glass_breaking,glass_breaking,99.87,glass_breaking,98.25,yes,1.62,yes,yes
SS01101,alarm_siren,alarm_siren,51.81,animal_sound,35.25,no,16.56,yes,no
SS01110,animal_sound,animal_sound,98.64,animal_sound,75.5,yes,23.14,yes,yes
SS01114,animal_sound,animal_sound,81.05,animal_sound,50.25,yes,30.8,yes,yes
SS01117,animal_sound,animal_sound,73.94,animal_sound,51.25,yes,22.69,yes,yes
SS01123,animal_sound,animal_sound,93.95,animal_sound,54.5,yes,39.45,yes,yes
SS01124,machinery_fault,animal_sound,60.12,animal_sound,31.0,yes,29.12,no,no
SS01130,animal_sound,animal_sound,40.13,animal_sound,30.0,yes,10.13,yes,yes
SS01136,machinery_fault,machinery_fault,94.17,machinery_fault,48.25,yes,45.92,yes,yes
SS01138,machinery_fault,machinery_fault,98.65,machinery_fault,54.75,yes,43.9,yes,yes
SS01139,background_noise,background_noise,92.86,background_noise,39.75,yes,53.11,yes,yes
SS01148,glass_breaking,glass_breaking,99.8,glass_breaking,94.75,yes,5.05,yes,yes
SS01153,background_noise,background_noise,67.98,background_noise,75.5,yes,7.52,yes,yes
SS01155,animal_sound,animal_sound,96.99,animal_sound,82.0,yes,14.99,yes,yes
SS01184,aggression,background_noise,74.7,background_noise,38.0,yes,36.7,no,no
SS01185,aggression,aggression,36.06,person_asking_for_help,57.25,no,21.19,yes,no
SS01189,aggression,background_noise,71.67,background_noise,40.25,yes,31.42,no,no
SS01199,aggression,aggression,98.31,aggression,99.0,yes,0.69,yes,yes
SS01215,aggression,aggression,98.03,aggression,96.0,yes,2.03,yes,yes
SS01218,aggression,aggression,99.37,aggression,95.5,yes,3.87,yes,yes
SS01225,aggression,aggression,97.66,aggression,86.0,yes,11.66,yes,yes
SS01240,aggression,aggression,98.82,aggression,95.25,yes,3.57,yes,yes
SS01246,aggression,aggression,98.96,aggression,85.25,yes,13.71,yes,yes
SS01255,aggression,aggression,99.84,aggression,82.0,yes,17.84,yes,yes
SS01262,aggression,aggression,98.46,aggression,98.25,yes,0.21,yes,yes
SS01265,aggression,aggression,99.26,aggression,97.0,yes,2.26,yes,yes
SS01266,aggression,aggression,99.87,aggression,96.0,yes,3.87,yes,yes
SS01269,aggression,aggression,97.37,aggression,71.75,yes,25.62,yes,yes
SS01270,aggression,aggression,97.27,aggression,77.75,yes,19.52,yes,yes
SS01275,aggression,aggression,96.64,aggression,90.75,yes,5.89,yes,yes
SS01276,aggression,aggression,99.01,aggression,94.25,yes,4.76,yes,yes
SS01289,aggression,aggression,99.63,aggression,97.0,yes,2.63,yes,yes
SS01301,aggression,aggression,99.67,aggression,99.25,yes,0.42,yes,yes
SS01314,aggression,aggression,98.13,aggression,70.75,yes,27.38,yes,yes
SS01326,aggression,aggression,99.77,aggression,97.5,yes,2.27,yes,yes
SS01327,aggression,aggression,93.37,aggression,72.0,yes,21.37,yes,yes
SS01330,aggression,aggression,99.57,aggression,99.75,yes,0.18,yes,yes
SS01335,aggression,aggression,98.12,aggression,64.25,yes,33.87,yes,yes
SS01339,aggression,aggression,97.76,aggression,72.0,yes,25.76,yes,yes
SS01344,aggression,glass_breaking,82.89,glass_breaking,46.75,yes,36.14,no,no
SS01346,aggression,background_noise,95.27,background_noise,61.0,yes,34.27,no,no
SS01356,aggression,aggression,30.85,glass_breaking,32.5,no,1.65,yes,no
SS01363,aggression,background_noise,56.12,aggression,33.75,no,22.37,no,yes
SS01371,aggression,aggression,91.45,aggression,62.0,yes,29.45,yes,yes
SS01375,aggression,aggression,88.06,aggression,60.75,yes,27.31,yes,yes
SS01378,aggression,aggression,78.03,aggression,51.0,yes,27.03,yes,yes
SS01381,aggression,machinery_fault,93.14,machinery_fault,60.5,yes,32.64,no,no
SS01384,aggression,glass_breaking,98.27,glass_breaking,59.5,yes,38.77,no,no
SS01400,aggression,aggression,43.91,glass_breaking,58.25,no,14.34,yes,no
SS01403,aggression,machinery_fault,98.54,machinery_fault,48.75,yes,49.79,no,no
SS01405,glass_breaking,glass_breaking,98.35,glass_breaking,88.25,yes,10.1,yes,yes
SS01410,glass_breaking,glass_breaking,99.32,glass_breaking,99.25,yes,0.07,yes,yes
SS01415,glass_breaking,glass_breaking,99.39,glass_breaking,88.75,yes,10.64,yes,yes
SS01428,glass_breaking,glass_breaking,99.79,glass_breaking,99.25,yes,0.54,yes,yes
SS01437,glass_breaking,glass_breaking,99.41,glass_breaking,84.5,yes,14.91,yes,yes
SS01441,glass_breaking,glass_breaking,98.72,glass_breaking,90.25,yes,8.47,yes,yes
SS01443,glass_breaking,glass_breaking,99.92,glass_breaking,82.25,yes,17.67,yes,yes
SS01460,glass_breaking,glass_breaking,99.82,glass_breaking,97.75,yes,2.07,yes,yes
SS01480,glass_breaking,glass_breaking,99.61,glass_breaking,96.75,yes,2.86,yes,yes
SS01483,glass_breaking,glass_breaking,99.82,glass_breaking,96.25,yes,3.57,yes,yes
SS01484,glass_breaking,glass_breaking,98.91,glass_breaking,81.25,yes,17.66,yes,yes
SS01486,glass_breaking,glass_breaking,99.75,glass_breaking,97.75,yes,2.0,yes,yes
SS01499,glass_breaking,glass_breaking,99.84,glass_breaking,98.5,yes,1.34,yes,yes
SS01511,glass_breaking,glass_breaking,97.76,glass_breaking,98.5,yes,0.74,yes,yes
SS01526,glass_breaking,glass_breaking,99.88,glass_breaking,91.5,yes,8.38,yes,yes
SS01528,glass_breaking,glass_breaking,99.9,glass_breaking,100.0,yes,0.1,yes,yes
SS01532,glass_breaking,glass_breaking,99.56,glass_breaking,98.0,yes,1.56,yes,yes
SS01533,glass_breaking,glass_breaking,90.01,glass_breaking,38.75,yes,51.26,yes,yes
SS01537,glass_breaking,glass_breaking,98.39,glass_breaking,85.75,yes,12.64,yes,yes
SS01557,glass_breaking,aggression,23.05,animal_sound,25.0,no,1.95,no,no
SS01558,glass_breaking,machinery_fault,60.54,machinery_fault,26.5,yes,34.04,no,no
SS01559,glass_breaking,glass_breaking,99.81,glass_breaking,85.0,yes,14.81,yes,yes
SS01560,glass_breaking,glass_breaking,94.59,glass_breaking,62.5,yes,32.09,yes,yes
SS01561,glass_breaking,glass_breaking,91.92,glass_breaking,62.0,yes,29.92,yes,yes
SS01567,glass_breaking,glass_breaking,96.76,glass_breaking,64.25,yes,32.51,yes,yes
SS01573,glass_breaking,glass_breaking,97.17,glass_breaking,93.5,yes,3.67,yes,yes
SS01574,glass_breaking,glass_breaking,98.51,glass_breaking,97.0,yes,1.51,yes,yes
SS01586,glass_breaking,glass_breaking,99.77,glass_breaking,99.25,yes,0.52,yes,yes
SS01589,glass_breaking,glass_breaking,69.99,glass_breaking,25.0,yes,44.99,yes,yes
SS01597,glass_breaking,glass_breaking,99.77,glass_breaking,81.0,yes,18.77,yes,yes
SS01604,glass_breaking,glass_breaking,98.57,glass_breaking,99.0,yes,0.43,yes,yes
SS01606,glass_breaking,glass_breaking,99.87,glass_breaking,97.5,yes,2.37,yes,yes
SS01613,glass_breaking,animal_sound,13.52,glass_breaking,52.75,no,39.23,no,yes
SS01617,glass_breaking,glass_breaking,99.36,glass_breaking,72.25,yes,27.11,yes,yes
SS01621,glass_breaking,glass_breaking,99.56,glass_breaking,96.0,yes,3.56,yes,yes
SS01633,glass_breaking,glass_breaking,59.15,glass_breaking,40.75,yes,18.4,yes,yes
SS01637,glass_breaking,glass_breaking,97.3,glass_breaking,72.5,yes,24.8,yes,yes
SS01641,glass_breaking,glass_breaking,98.78,glass_breaking,93.0,yes,5.78,yes,yes
SS01642,glass_breaking,glass_breaking,94.75,glass_breaking,88.0,yes,6.75,yes,yes
SS01646,glass_breaking,glass_breaking,98.53,glass_breaking,62.5,yes,36.03,yes,yes
SS01656,glass_breaking,glass_breaking,94.53,glass_breaking,44.25,yes,50.28,yes,yes
SS01666,glass_breaking,glass_breaking,97.29,glass_breaking,93.0,yes,4.29,yes,yes
SS01680,glass_breaking,glass_breaking,99.54,glass_breaking,92.5,yes,7.04,yes,yes
SS01685,glass_breaking,glass_breaking,99.77,glass_breaking,83.5,yes,16.27,yes,yes
SS01691,glass_breaking,glass_breaking,80.77,glass_breaking,73.0,yes,7.77,yes,yes
SS01700,glass_breaking,glass_breaking,99.99,glass_breaking,98.25,yes,1.74,yes,yes
SS01723,person_asking_for_help,person_asking_for_help,54.77,person_asking_for_help,62.5,yes,7.73,yes,yes
SS01724,person_asking_for_help,person_asking_for_help,98.14,person_asking_for_help,45.0,yes,53.14,yes,yes
SS01725,person_asking_for_help,animal_sound,64.2,animal_sound,39.75,yes,24.45,no,no
SS01732,person_asking_for_help,person_asking_for_help,62.64,person_asking_for_help,38.75,yes,23.89,yes,yes
SS01733,person_asking_for_help,person_asking_for_help,56.08,person_asking_for_help,61.5,yes,5.42,yes,yes
SS01735,person_asking_for_help,person_asking_for_help,98.81,person_asking_for_help,51.25,yes,47.56,yes,yes
SS01738,person_asking_for_help,person_asking_for_help,82.68,person_asking_for_help,52.75,yes,29.93,yes,yes
SS01741,person_asking_for_help,person_asking_for_help,98.3,glass_breaking,31.0,no,67.3,yes,no
SS01743,person_asking_for_help,glass_breaking,97.38,glass_breaking,60.0,yes,37.38,no,no
SS01747,person_asking_for_help,person_asking_for_help,84.95,person_asking_for_help,31.0,yes,53.95,yes,yes
SS01750,person_asking_for_help,aggression,26.43,animal_sound,46.25,no,19.82,no,no
SS01756,person_asking_for_help,person_asking_for_help,98.9,person_asking_for_help,27.25,yes,71.65,yes,yes
SS01781,person_asking_for_help,glass_breaking,57.59,background_noise,27.5,no,30.09,no,no
SS01785,person_asking_for_help,person_asking_for_help,98.58,person_asking_for_help,45.25,yes,53.33,yes,yes
SS01792,person_asking_for_help,person_asking_for_help,98.01,person_asking_for_help,57.25,yes,40.76,yes,yes
SS01800,person_asking_for_help,background_noise,32.01,person_asking_for_help,49.75,no,17.74,no,yes
SS01830,person_asking_for_help,person_asking_for_help,94.59,person_asking_for_help,61.25,yes,33.34,yes,yes
SS01844,person_asking_for_help,person_asking_for_help,47.81,background_noise,43.5,no,4.31,yes,no
SS01850,person_asking_for_help,animal_sound,91.57,animal_sound,46.5,yes,45.07,no,no
SS01859,person_asking_for_help,person_asking_for_help,92.26,glass_breaking,34.0,no,58.26,yes,no
SS01862,person_asking_for_help,person_asking_for_help,94.73,person_asking_for_help,64.25,yes,30.48,yes,yes
SS01865,person_asking_for_help,person_asking_for_help,82.73,person_asking_for_help,55.0,yes,27.73,yes,yes
SS01868,person_asking_for_help,person_asking_for_help,94.86,person_asking_for_help,70.25,yes,24.61,yes,yes
SS01879,person_asking_for_help,glass_breaking,50.24,glass_breaking,32.5,yes,17.74,no,no
SS01884,person_asking_for_help,animal_sound,57.57,person_asking_for_help,40.75,no,16.82,no,yes
SS01890,person_asking_for_help,person_asking_for_help,95.52,animal_sound,46.75,no,48.77,yes,no
SS01892,person_asking_for_help,person_asking_for_help,56.6,animal_sound,43.75,no,12.85,yes,no
SS01894,person_asking_for_help,person_asking_for_help,74.04,person_asking_for_help,35.0,yes,39.04,yes,yes
SS01900,person_asking_for_help,person_asking_for_help,49.75,person_asking_for_help,34.5,yes,15.25,yes,yes
SS01928,person_asking_for_help,person_asking_for_help,88.81,person_asking_for_help,60.5,yes,28.31,yes,yes
SS01929,person_asking_for_help,person_asking_for_help,70.24,person_asking_for_help,33.0,yes,37.24,yes,yes
SS01930,person_asking_for_help,person_asking_for_help,91.02,person_asking_for_help,51.0,yes,40.02,yes,yes
SS01934,person_asking_for_help,person_asking_for_help,95.73,person_asking_for_help,73.75,yes,21.98,yes,yes
SS01935,person_asking_for_help,person_asking_for_help,84.57,person_asking_for_help,68.75,yes,15.82,yes,yes
SS01940,person_asking_for_help,person_asking_for_help,96.65,person_asking_for_help,95.0,yes,1.65,yes,yes
SS01944,person_asking_for_help,person_asking_for_help,88.9,person_asking_for_help,64.0,yes,24.9,yes,yes
SS01947,person_asking_for_help,person_asking_for_help,99.44,person_asking_for_help,76.25,yes,23.19,yes,yes
SS01960,person_asking_for_help,background_noise,28.38,person_asking_for_help,64.75,no,36.37,no,yes
SS01962,person_asking_for_help,glass_breaking,64.84,glass_breaking,37.75,yes,27.09,no,no
SS01963,person_asking_for_help,background_noise,99.68,background_noise,97.0,yes,2.68,no,no
SS01978,person_asking_for_help,person_asking_for_help,97.52,person_asking_for_help,70.0,yes,27.52,yes,yes
SS01982,person_asking_for_help,person_asking_for_help,94.35,person_asking_for_help,76.5,yes,17.85,yes,yes
SS01990,person_asking_for_help,person_asking_for_help,71.62,animal_sound,52.25,no,19.37,yes,no
SS01993,person_asking_for_help,person_asking_for_help,97.93,person_asking_for_help,65.25,yes,32.68,yes,yes
SS02002,person_asking_for_help,person_asking_for_help,99.23,person_asking_for_help,80.25,yes,18.98,yes,yes
SS02008,gunshot,gunshot,98.15,gunshot,99.5,yes,1.35,yes,yes
SS02010,gunshot,gunshot,99.32,gunshot,99.75,yes,0.43,yes,yes
SS02028,gunshot,gunshot,98.86,gunshot,100.0,yes,1.14,yes,yes
SS02036,gunshot,gunshot,99.77,gunshot,99.0,yes,0.77,yes,yes
SS02040,gunshot,gunshot,98.68,gunshot,98.0,yes,0.68,yes,yes
SS02043,gunshot,gunshot,99.77,gunshot,100.0,yes,0.23,yes,yes
SS02046,gunshot,gunshot,98.29,gunshot,99.5,yes,1.21,yes,yes
SS02049,gunshot,gunshot,99.62,gunshot,100.0,yes,0.38,yes,yes
SS02054,gunshot,gunshot,99.54,gunshot,100.0,yes,0.46,yes,yes
SS02064,gunshot,gunshot,97.9,gunshot,98.75,yes,0.85,yes,yes
SS02069,gunshot,gunshot,98.73,gunshot,97.25,yes,1.48,yes,yes
SS02073,gunshot,gunshot,99.46,gunshot,100.0,yes,0.54,yes,yes
SS02086,gunshot,gunshot,99.32,gunshot,100.0,yes,0.68,yes,yes
SS02087,gunshot,gunshot,99.16,gunshot,100.0,yes,0.84,yes,yes
SS02100,gunshot,gunshot,98.82,gunshot,99.0,yes,0.18,yes,yes
SS02103,gunshot,gunshot,99.5,gunshot,99.25,yes,0.25,yes,yes
SS02108,gunshot,gunshot,97.8,gunshot,100.0,yes,2.2,yes,yes
SS02123,gunshot,gunshot,94.26,gunshot,93.0,yes,1.26,yes,yes
SS02132,panic_scream,panic_scream,98.71,panic_scream,96.25,yes,2.46,yes,yes
