audio_id,filename,class_label,source,original_filename,sha256,split,augmented,relative_path
SS00012,SS00012_9e8ec2f9.wav,background_noise,esc50,1-12653-A-15.wav,9e8ec2f92df6dc2f9673f4c701ac327dc5455e6cfa8e108e0f5443aeaa535a65,train,original,categorized_audio\background_noise\SS00012_9e8ec2f9.wav
SS00013,SS00013_d2dd3a33.wav,background_noise,esc50,1-12654-A-15.wav,d2dd3a33d3187b9b643a345e768c4286a12a36fc23a3a2c2aaa525d1ce6e8658,test,original,categorized_audio\background_noise\SS00013_d2dd3a33.wav
SS00014,SS00014_0aae7efc.wav,background_noise,esc50,1-12654-B-15.wav,0aae7efcfcf849cb630434296b2de3397ecd8aaf51282feab30ee28fd91d2227,val,original,categorized_audio\background_noise\SS00014_0aae7efc.wav
SS00015,SS00015_92baf64d.wav,alarm_siren,esc50,1-13571-A-46.wav,92baf64d0e246d513e7a94e3778459558dcc222ec7cd30b12c58092a3d903142,train,original,categorized_audio\alarm_siren\SS00015_92baf64d.wav
SS00016,SS00016_fdbfa039.wav,alarm_siren,esc50,1-13572-A-46.wav,fdbfa0391e7433b24a268a0f716afd057ca7f75c79fe0245f5072869baf19018,train,original,categorized_audio\alarm_siren\SS00016_fdbfa039.wav
SS00017,SS00017_2e28b25e.wav,alarm_siren,esc50,1-13613-A-37.wav,2e28b25e14611723cdcc0becfa36468a8d0329a0c141e4f1d894bd6bb5773f34,train,original,categorized_audio\alarm_siren\SS00017_2e28b25e.wav
SS00018,SS00018_73e2dd5e.wav,background_noise,esc50,1-137296-A-16.wav,73e2dd5e66dda29f76a54b53c3c8e33441d105fc35c1d231bfbd8f7a18442969,test,original,categorized_audio\background_noise\SS00018_73e2dd5e.wav
SS00019,SS00019_220c3d12.wav,alarm_siren,esc50,1-14262-A-37.wav,220c3d127df2f0d8979a2edde5318aaaa3aed19d8c5d3b4a40d529f979bba453,train,original,categorized_audio\alarm_siren\SS00019_220c3d12.wav
SS00020,SS00020_bdb124b7.wav,animal_sound,esc50,1-15689-A-4.wav,bdb124b7004b02ab8299f7d7389d15b5eb53e12002cff379d49dcdec4d8b1372,train,original,categorized_audio\animal_sound\SS00020_bdb124b7.wav
SS00021,SS00021_db7a1d19.wav,animal_sound,esc50,1-15689-B-4.wav,db7a1d190931f1101d533661852e3cdebaa2b89c4b743385b201391be7de003d,train,original,categorized_audio\animal_sound\SS00021_db7a1d19.wav
SS00022,SS00022_5fe40ae7.wav,animal_sound,esc50,1-16568-A-3.wav,5fe40ae706ec97d016fd1d74407cde66bbfa033ffa4ebc26546c0dac341ffc8f,train,original,categorized_audio\animal_sound\SS00022_5fe40ae7.wav
SS00023,SS00023_2543c7e9.wav,background_noise,esc50,1-16746-A-15.wav,2543c7e9ee65860a5baa39d86040807bf9aa7255b50938e85d478d0f662716dd,train,original,categorized_audio\background_noise\SS00023_2543c7e9.wav
SS00024,SS00024_9d5e01e0.wav,vehicle_horn,esc50,1-17124-A-43.wav,9d5e01e07a386ee36c2e73f40817d132a54d91c936eccc01414280abca5a4209,train,original,categorized_audio\vehicle_horn\SS00024_9d5e01e0.wav
SS00025,SS00025_3d278bc2.wav,background_noise,esc50,1-17150-A-12.wav,3d278bc2034dfb83881491a8eec97de6f1239f0a5b8a7c02be46b5aab0a51609,test,original,categorized_audio\background_noise\SS00025_3d278bc2.wav
SS00026,SS00026_d732acd2.wav,background_noise,esc50,1-17367-A-10.wav,d732acd2e0c7c40405968010f49f250740c86998fc416eff2ed5330fc8c89dea,test,original,categorized_audio\background_noise\SS00026_d732acd2.wav
SS00027,SS00027_bf16e253.wav,background_noise,esc50,1-17565-A-12.wav,bf16e25363a2d5824c07e96dc05defcb87e1d9dcd47bfd241a9d25e01b411209,train,original,categorized_audio\background_noise\SS00027_bf16e253.wav
SS00028,SS00028_beb564e1.wav,animal_sound,esc50,1-17585-A-7.wav,beb564e150ce6aab27740bb44445cc710695979362b43edea09c90552723b9ce,train,original,categorized_audio\animal_sound\SS00028_beb564e1.wav
SS00029,SS00029_57c4d44e.wav,background_noise,esc50,1-17742-A-12.wav,57c4d44ed80ad163ac63353ea98a7b286cfbe5ceb844cc57959b70c08ce5dde9,train,original,categorized_audio\background_noise\SS00029_57c4d44e.wav
SS00030,SS00030_e6a90f13.wav,background_noise,esc50,1-17808-A-12.wav,e6a90f134fe2f2eaa759b2b01ec831d6f86e300522fb0a5d19e050df16c606af,test,original,categorized_audio\background_noise\SS00030_e6a90f13.wav
SS00031,SS00031_f28b0f81.wav,background_noise,esc50,1-17808-B-12.wav,f28b0f8158b6a5adfa4bca5df5c71963c839dd22815440c8b3e220ef2016a365,train,original,categorized_audio\background_noise\SS00031_f28b0f81.wav
SS00032,SS00032_3ef1243c.wav,animal_sound,esc50,1-17970-A-4.wav,3ef1243cfebc5a6d45e8395c505349a1b3cfd5d97ad48ed4dcc68d3b0240e296,train,original,categorized_audio\animal_sound\SS00032_3ef1243c.wav
SS00033,SS00033_26c99da1.wav,animal_sound,esc50,1-18074-A-6.wav,26c99da1d62a3e93371e13ff1b5e29003e40e2bfdc9334f46672c1de232be243,train,original,categorized_audio\animal_sound\SS00033_26c99da1.wav
SS00034,SS00034_68c54aac.wav,animal_sound,esc50,1-18074-B-6.wav,68c54aaccb36a91281ca689aaa8d4d888e7a53c571f4c00995a9f69b5ba1d333,train,original,categorized_audio\animal_sound\SS00034_68c54aac.wav
SS00035,SS00035_83eb3e60.wav,machinery_fault,esc50,1-18527-A-44.wav,83eb3e6065246fd87d1acbbe414aa5bfb7c2081a57c188713cdc017819ffc38f,train,original,categorized_audio\machinery_fault\SS00035_83eb3e60.wav
SS00036,SS00036_40f0ab8a.wav,machinery_fault,esc50,1-18527-B-44.wav,40f0ab8a2fa68cbdf814f10fc8b2c26916b3dc54c1b0e719d4697ba58c0bdb81,train,original,categorized_audio\machinery_fault\SS00036_40f0ab8a.wav
SS00037,SS00037_7fc23f01.wav,animal_sound,esc50,1-18755-A-4.wav,7fc23f0179e6ab9f9cd851e49c305e773ab5bbc944490b6b67eed30346635598,test,original,categorized_audio\animal_sound\SS00037_7fc23f01.wav
SS00038,SS00038_3fadff6b.wav,animal_sound,esc50,1-18755-B-4.wav,3fadff6b71d7a5d8f96cd098218f55265fb07b9a618943e4a34d5e8b1ca7c6d9,test,original,categorized_audio\animal_sound\SS00038_3fadff6b.wav
SS00039,SS00039_dac86a65.wav,animal_sound,esc50,1-18757-A-4.wav,dac86a651f49fccc16b5b5de5dac68182ed572841ea5914da2afccc83ae83700,train,original,categorized_audio\animal_sound\SS00039_dac86a65.wav
SS00040,SS00040_f3597d92.wav,machinery_fault,esc50,1-18810-A-49.wav,f3597d925f71cc6a85f03cd08edeed6657b5433d70c229484d8f6cc0236e9df8,train,original,categorized_audio\machinery_fault\SS00040_f3597d92.wav
SS00041,SS00041_67bb2fe5.wav,vehicle_horn,esc50,1-19026-A-43.wav,67bb2fe5cf138930eb6a6a84bedeb7284093076738cd47ef73cc8b3b8393ff40,train,original,categorized_audio\vehicle_horn\SS00041_67bb2fe5.wav
SS00042,SS00042_d10dfa62.wav,animal_sound,esc50,1-19501-A-7.wav,d10dfa62d347aa2b72dc8c6e1c1d76125f59c37d08596f2b62e91e82502acb78,test,original,categorized_audio\animal_sound\SS00042_d10dfa62.wav
SS00043,SS00043_8fd98d50.wav,animal_sound,esc50,1-196660-A-8.wav,8fd98d50c5ff6ffeea6785d306dca53e01ea2e914488115bf32da4fb11d4a53b,test,original,categorized_audio\animal_sound\SS00043_8fd98d50.wav
SS00044,SS00044_5b189520.wav,animal_sound,esc50,1-196660-B-8.wav,5b1895203de8d4392ae851a498973b07b38b915e9b0e001f8a46743a06981aa2,train,original,categorized_audio\animal_sound\SS00044_5b189520.wav
SS00045,SS00045_d6d58e48.wav,machinery_fault,esc50,1-19840-A-36.wav,d6d58e48005b976207cd6030de5d8976e9e7f4377eab86f790c5473c95ad2dd1,train,original,categorized_audio\machinery_fault\SS00045_d6d58e48.wav
SS00046,SS00046_6f15bb8c.wav,machinery_fault,esc50,1-19872-A-36.wav,6f15bb8c669aaf930dfd44ef95920141a2b8d43148f7e29c0f1a7a52f91260d6,test,original,categorized_audio\machinery_fault\SS00046_6f15bb8c.wav
SS00047,SS00047_610ae9ac.wav,machinery_fault,esc50,1-19872-B-36.wav,610ae9ac76627cf8c1d655190fffa635979a24d25c5925cbbcf1dc659e323146,train,original,categorized_audio\machinery_fault\SS00047_610ae9ac.wav
SS00048,SS00048_02afa310.wav,machinery_fault,esc50,1-19898-A-41.wav,02afa3102978b5fb16f9c6237d90231abb74318873309600f01caf4776746944,test,original,categorized_audio\machinery_fault\SS00048_02afa310.wav
SS00049,SS00049_cab47357.wav,machinery_fault,esc50,1-19898-B-41.wav,cab4735712a7727e16cc1946308f80034c926c59ed467dccf539f39bebe8d61d,train,original,categorized_audio\machinery_fault\SS00049_cab47357.wav
SS00050,SS00050_04f11bf7.wav,machinery_fault,esc50,1-19898-C-41.wav,04f11bf73d8b4df3c64b523a334f42f44053045478810093bf028fb02a82448e,test,original,categorized_audio\machinery_fault\SS00050_04f11bf7.wav
SS00051,SS00051_db694613.wav,glass_breaking,esc50,1-20133-A-39.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,train,original,categorized_audio\glass_breaking\SS00051_db694613.wav
SS00052,SS00052_d033c657.wav,animal_sound,esc50,1-202111-A-3.wav,d033c6572aaaa4ac451327ba5fbf3cdcada06c681f05d8188043b39f1346be98,train,original,categorized_audio\animal_sound\SS00052_d033c657.wav
SS00053,SS00053_866245ac.wav,animal_sound,esc50,1-208757-A-2.wav,866245ac085d99d72406fb80dd09535b7b62c7cafc26972a73dd4bdb8db79ebc,train,original,categorized_audio\animal_sound\SS00053_866245ac.wav
SS00054,SS00054_2d041c16.wav,animal_sound,esc50,1-208757-B-2.wav,2d041c169d58f25bc769a057bc201bdcf8c289ef16b3b93388c248407f6a5d1a,train,original,categorized_audio\animal_sound\SS00054_2d041c16.wav
SS00055,SS00055_060daa95.wav,animal_sound,esc50,1-208757-C-2.wav,060daa9528df8024d08688fb4861aca6079b8f8603a4a3438ee1554621e4d914,train,original,categorized_audio\animal_sound\SS00055_060daa95.wav
SS00056,SS00056_776ae2c1.wav,animal_sound,esc50,1-208757-D-2.wav,776ae2c1dadcb914f31fa033cf99a26bdb2f01295bd29159092b6d88ae83f9e8,test,original,categorized_audio\animal_sound\SS00056_776ae2c1.wav
SS00057,SS00057_2085c6ff.wav,animal_sound,esc50,1-208757-E-2.wav,2085c6ff08ec19fba4dd4aad9462c592d925f4e92cfbca82b199f4289339301e,val,original,categorized_audio\animal_sound\SS00057_2085c6ff.wav
SS00058,SS00058_5f15ab2d.wav,background_noise,esc50,1-21189-A-10.wav,5f15ab2d8f6ef9932909b1b75c8ac254cbea46c93b4b2f0f3542abdf09b9abc0,train,original,categorized_audio\background_noise\SS00058_5f15ab2d.wav
SS00059,SS00059_45473028.wav,alarm_siren,esc50,1-21421-A-46.wav,4547302835eb89a4fddaebca32b56e26784cc8453f7ee1984c014ffc8af6819e,train,original,categorized_audio\alarm_siren\SS00059_45473028.wav
SS00060,SS00060_1b4210c5.wav,machinery_fault,esc50,1-21896-A-35.wav,1b4210c50a01cabab07065a112463fad4f82de60385ef9aaf6316afe7d4b976c,train,original,categorized_audio\machinery_fault\SS00060_1b4210c5.wav
SS00061,SS00061_2212340e.wav,alarm_siren,esc50,1-22804-A-46.wav,2212340e03c7e481a21f0e4845f54dc521d6c8a5c961d3421445b85f9bdf1ca9,train,original,categorized_audio\alarm_siren\SS00061_2212340e.wav
SS00062,SS00062_b908257c.wav,machinery_fault,esc50,1-22882-A-44.wav,b908257c714fdaa15dddfc814eb497397ada9bee501e8a5c9d6ec7adc325e2d0,train,original,categorized_audio\machinery_fault\SS00062_b908257c.wav
SS00063,SS00063_0d346768.wav,background_noise,esc50,1-23094-A-15.wav,0d346768ebd5359cdc18d871d836c31b0d94dea3e69e9a7a15630ebbe7e1a91e,train,original,categorized_audio\background_noise\SS00063_0d346768.wav
SS00064,SS00064_a2b8e982.wav,background_noise,esc50,1-23094-B-15.wav,a2b8e98255f517cdacd61cf1a3f35f8c6f15a71e4cc51d0bc1044938f627dd58,test,original,categorized_audio\background_noise\SS00064_a2b8e982.wav
SS00065,SS00065_680bc85f.wav,background_noise,esc50,1-23222-A-19.wav,680bc85f2f6fb1f0fef85a1f4f059bc7b6957a30d0a0b3dd8e93c287216cbbd5,train,original,categorized_audio\background_noise\SS00065_680bc85f.wav
SS00066,SS00066_a48701b1.wav,background_noise,esc50,1-23222-B-19.wav,a48701b1104510004ad4d425bf0dbc8d55b8febd1a603b9e72c1a74075b45c23,val,original,categorized_audio\background_noise\SS00066_a48701b1.wav
SS00067,SS00067_578e6657.wav,machinery_fault,esc50,1-23706-A-49.wav,578e665791e50b49fd105745ee79e3974b5fe323c7712aad4cd8bce67e21bf76,train,original,categorized_audio\machinery_fault\SS00067_578e6657.wav
SS00068,SS00068_cbfd9239.wav,machinery_fault,esc50,1-23996-A-35.wav,cbfd9239fcd7e10a936e6836bbcc8c5f391f89b6a1e12dfe159df717e2898657,train,original,categorized_audio\machinery_fault\SS00068_cbfd9239.wav
SS00069,SS00069_ca674e85.wav,machinery_fault,esc50,1-23996-B-35.wav,ca674e8520adea211f45e60eb86ae13f1be91e976afb82427ad61cb814142a2f,train,original,categorized_audio\machinery_fault\SS00069_ca674e85.wav
SS00070,SS00070_ebdbc03e.wav,vehicle_horn,esc50,1-24074-A-43.wav,ebdbc03e89c6a41c8ce1df7b12d4e2c4bb3f91345c43e7d75a1ed1357ff5f7e0,train,original,categorized_audio\vehicle_horn\SS00070_ebdbc03e.wav
SS00071,SS00071_723edafd.wav,vehicle_horn,esc50,1-24076-A-43.wav,723edafd5bda638184bab5038745b6cafc9c813440b236175074d4d42b142d94,train,original,categorized_audio\vehicle_horn\SS00071_723edafd.wav
SS00072,SS00072_a0a8af38.wav,background_noise,esc50,1-24524-A-19.wav,a0a8af38dc93186bdaef63b0eff44853604d4c2ba8a2f329109c784a8fab3f67,train,original,categorized_audio\background_noise\SS00072_a0a8af38.wav
SS00073,SS00073_661ff207.wav,background_noise,esc50,1-24524-B-19.wav,661ff207a4373a81a5311745e1d51b79bb42ac9825a87a592d21637aa514dbf3,train,original,categorized_audio\background_noise\SS00073_661ff207.wav
SS00074,SS00074_3116ac95.wav,background_noise,esc50,1-24524-C-19.wav,3116ac95bb308961b1581d3db91e9926581ce901507828cf210d5540239239d3,train,original,categorized_audio\background_noise\SS00074_3116ac95.wav
SS00075,SS00075_ebe976cc.wav,vehicle_horn,esc50,1-254507-A-43.wav,ebe976ccd285cb44e6585d889f2a8759c5de47e9940f638ecaa300def46e544a,train,original,categorized_audio\vehicle_horn\SS00075_ebe976cc.wav
SS00076,SS00076_e624cb74.wav,animal_sound,esc50,1-260640-A-2.wav,e624cb74542ef6bd6e4a9bbe340624db117da231111bcb87ef100f25dde8afb3,train,original,categorized_audio\animal_sound\SS00076_e624cb74.wav
SS00077,SS00077_3c310e4f.wav,animal_sound,esc50,1-260640-B-2.wav,3c310e4f565a634e3f45580abf98b0c1bfc5c1e71589bbbc9e3d44e82df22946,train,original,categorized_audio\animal_sound\SS00077_3c310e4f.wav
SS00078,SS00078_3c7e3feb.wav,animal_sound,esc50,1-260640-C-2.wav,3c7e3feb43ac711ab1934c01c3e7eac0a29ab94a725e879fea91623b7d069f79,train,original,categorized_audio\animal_sound\SS00078_3c7e3feb.wav
SS00079,SS00079_f1972b41.wav,vehicle_horn,esc50,1-26176-A-43.wav,f1972b41b111a56e84d4fff30dd2e628521d6c699693adc60c14985c4cfdbf25,train,original,categorized_audio\vehicle_horn\SS00079_f1972b41.wav
SS00080,SS00080_65655fc1.wav,vehicle_horn,esc50,1-26177-A-43.wav,65655fc14cb749884c5965a42912decebf922aa6b51f1e27f56da7f35d1d381f,train,original,categorized_audio\vehicle_horn\SS00080_65655fc1.wav
SS00081,SS00081_7a036955.wav,background_noise,esc50,1-26222-A-10.wav,7a03695543a56d61464ea2bd87e0947bb994d38c914492c02be686693b6e1dac,train,original,categorized_audio\background_noise\SS00081_7a036955.wav
SS00082,SS00082_9021db2a.wav,animal_sound,esc50,1-26806-A-1.wav,9021db2a8218814e1f90957a179589c7f3167fd1f235f58019890064e23ee5be,train,original,categorized_audio\animal_sound\SS00082_9021db2a.wav
SS00083,SS00083_e6cad0b7.wav,machinery_fault,esc50,1-27165-A-35.wav,e6cad0b77f3204159226c4b12003156401f284a32351b9eacd2051df7f6e8237,val,original,categorized_audio\machinery_fault\SS00083_e6cad0b7.wav
SS00084,SS00084_eb7e1055.wav,machinery_fault,esc50,1-27166-A-35.wav,eb7e1055a911665a03ac65d7085798b77cfa3e0718c123f93e93b7b07ad34796,train,original,categorized_audio\machinery_fault\SS00084_eb7e1055.wav
SS00085,SS00085_3bb615f7.wav,animal_sound,esc50,1-27724-A-1.wav,3bb615f722d94caa848f64bf4da365fde52dc93a732b0d017d38fe9e1474649f,val,original,categorized_audio\animal_sound\SS00085_3bb615f7.wav
SS00086,SS00086_4d04b84d.wav,background_noise,esc50,1-28135-A-11.wav,4d04b84d490c4d9ab28a52c4c96d1b14c2f8b132fc4be38166197ae814920742,train,original,categorized_audio\background_noise\SS00086_4d04b84d.wav
SS00087,SS00087_806548ec.wav,background_noise,esc50,1-28135-B-11.wav,806548ec876df9f91ced5503f76794a42dca6b8790324f87464de5ed780189cb,test,original,categorized_audio\background_noise\SS00087_806548ec.wav
SS00088,SS00088_23c54679.wav,vehicle_horn,esc50,1-28808-A-43.wav,23c54679c820a7f6a71674df1ef064afffd3344d8ea859d9c5978301ce2736a5,test,original,categorized_audio\vehicle_horn\SS00088_23c54679.wav
SS00089,SS00089_f7161457.wav,background_noise,esc50,1-29532-A-16.wav,f7161457776ff69adbb903e870a3ecf532228a033de6896f25af2f4ce77c5f68,test,original,categorized_audio\background_noise\SS00089_f7161457.wav
SS00090,SS00090_4dc60096.wav,background_noise,esc50,1-29561-A-10.wav,4dc600962b53709664b27073f46ef2ad7d766ddad39c3ff04fcaf98442aae65b,val,original,categorized_audio\background_noise\SS00090_4dc60096.wav
SS00091,SS00091_ca2626d2.wav,animal_sound,esc50,1-30226-A-0.wav,ca2626d2b49c7c20a3e0f9f8d7aa56f4497643c6bc264ff37764392be2b15753,train,original,categorized_audio\animal_sound\SS00091_ca2626d2.wav
SS00092,SS00092_52a876cf.wav,animal_sound,esc50,1-30344-A-0.wav,52a876cff473fe9b6deb4feea9545a2b976e63e03744921afc72f9800758ce30,train,original,categorized_audio\animal_sound\SS00092_52a876cf.wav
SS00093,SS00093_f9dc446b.wav,animal_sound,esc50,1-31251-A-6.wav,f9dc446b4f6d7861943c079771506b917fd5dbd0867f5800c142ff767a449570,train,original,categorized_audio\animal_sound\SS00093_f9dc446b.wav
SS00094,SS00094_2cdb1b3a.wav,animal_sound,esc50,1-31251-B-6.wav,2cdb1b3ab1a71bce3a64e48eff9167d63ef86001862f10c245689cf9a6254edd,train,original,categorized_audio\animal_sound\SS00094_2cdb1b3a.wav
SS00095,SS00095_e4c640a0.wav,alarm_siren,esc50,1-31482-A-42.wav,e4c640a001c2abe808389c90b90ba7084fb1922d58235e3ec95c18c4afb4ef5c,train,original,categorized_audio\alarm_siren\SS00095_e4c640a0.wav
SS00096,SS00096_2446a3eb.wav,alarm_siren,esc50,1-31482-B-42.wav,2446a3eb69758de0ddde8962ab8966790a19960c71ab649cff52aae3d5d93a54,val,original,categorized_audio\alarm_siren\SS00096_2446a3eb.wav
SS00097,SS00097_2807d582.wav,animal_sound,esc50,1-31836-A-4.wav,2807d582aaeaf50414cb7e1e4f0ea2cbfd80727c7a08727eb2b68ed6db30f758,val,original,categorized_audio\animal_sound\SS00097_2807d582.wav
SS00098,SS00098_d59a86d8.wav,animal_sound,esc50,1-31836-B-4.wav,d59a86d8a55ceaf65673df4ca0997503ee5f795c3bdb0fcb4b075ec653fa5f82,train,original,categorized_audio\animal_sound\SS00098_d59a86d8.wav
SS00099,SS00099_0e96f0ba.wav,animal_sound,esc50,1-32318-A-0.wav,0e96f0bab8bbba81c98a8d7741cf258c8381c6481bac36961b8603a600a6c321,val,original,categorized_audio\animal_sound\SS00099_0e96f0ba.wav
SS00100,SS00100_b80e92b0.wav,machinery_fault,esc50,1-32373-A-35.wav,b80e92b0c3b019a593601686fb2475e51294dfd9b1a36a1f34ce4e5edd9d5b0a,train,original,categorized_audio\machinery_fault\SS00100_b80e92b0.wav
SS00101,SS00101_d95a3f2c.wav,machinery_fault,esc50,1-32373-B-35.wav,d95a3f2c66f1f15f81c2526a3102ab0480aa012a538dcb95660df5e9055537c0,train,original,categorized_audio\machinery_fault\SS00101_d95a3f2c.wav
SS00102,SS00102_ceddf296.wav,animal_sound,esc50,1-34094-A-5.wav,ceddf296bcdda3996d35d3f4c292c338050bcb4c5a05a96ca22a69d33e33e4de,val,original,categorized_audio\animal_sound\SS00102_ceddf296.wav
SS00103,SS00103_43814c96.wav,animal_sound,esc50,1-34094-B-5.wav,43814c96e62a5c2fbf14b84828cc929e381e53c0add7c1e8211d212e1da97734,train,original,categorized_audio\animal_sound\SS00103_43814c96.wav
SS00104,SS00104_4085bfea.wav,animal_sound,esc50,1-34119-A-1.wav,4085bfea267b1ecfcdd95b666e2f0c6a5fdf152794740834a24c54c75967f5fe,train,original,categorized_audio\animal_sound\SS00104_4085bfea.wav
SS00105,SS00105_55c3e6b3.wav,animal_sound,esc50,1-34119-B-1.wav,55c3e6b3ce6299d1c1675fc9655327aa2dbc2130d87c08f5f38cac7d33e336cc,train,original,categorized_audio\animal_sound\SS00105_55c3e6b3.wav
SS00106,SS00106_3641b914.wav,animal_sound,esc50,1-34495-A-14.wav,3641b914303dca50d01c2ab5aceaaf918ce977028f4ee752c22beb64d09eeec3,test,original,categorized_audio\animal_sound\SS00106_3641b914.wav
SS00107,SS00107_fcb9f579.wav,animal_sound,esc50,1-34497-A-14.wav,fcb9f579a65a189a2b0e35a38c6711eaad931aa208c8c43de0bf3ba15cf8380f,train,original,categorized_audio\animal_sound\SS00107_fcb9f579.wav
SS00108,SS00108_87c0ead3.wav,alarm_siren,esc50,1-34853-A-37.wav,87c0ead33b915845a8d86437b78755278408aedf8ed19e4880674a3679122cf4,train,original,categorized_audio\alarm_siren\SS00108_87c0ead3.wav
SS00109,SS00109_bda988c2.wav,animal_sound,esc50,1-38559-A-14.wav,bda988c22f4b928012abe6d4231b4244700dc615b6d43f439476cda3d7f8a5d8,train,original,categorized_audio\animal_sound\SS00109_bda988c2.wav
SS00110,SS00110_d6b1c659.wav,animal_sound,esc50,1-38560-A-14.wav,d6b1c659ed64ba12036d8834d0af88200849669dd5a16527e583d8c7f8c86106,train,original,categorized_audio\animal_sound\SS00110_d6b1c659.wav
SS00111,SS00111_403db280.wav,animal_sound,esc50,1-39835-A-9.wav,403db280f38092be1ff41cf1e412750f01b5fe0df042125373b6f1cd340cc767,test,original,categorized_audio\animal_sound\SS00111_403db280.wav
SS00112,SS00112_c48f8bdd.wav,animal_sound,esc50,1-39835-B-9.wav,c48f8bddec7b80bd27d05a65b26a2ea8e128b0412a26ae06527acf3bcf1ffa0d,train,original,categorized_audio\animal_sound\SS00112_c48f8bdd.wav
SS00113,SS00113_b1e33d5f.wav,background_noise,esc50,1-39901-A-11.wav,b1e33d5fe73bc31317fa9fa4e70d0fcaf761346f8a908c89cec50c6c23f41603,train,original,categorized_audio\background_noise\SS00113_b1e33d5f.wav
SS00114,SS00114_582d4c54.wav,background_noise,esc50,1-39901-B-11.wav,582d4c541bb4bdbc300ccbbaa52f120931a849b1616a4eb6135cf32c5ba8c517,val,original,categorized_audio\background_noise\SS00114_582d4c54.wav
SS00115,SS00115_62379ace.wav,animal_sound,esc50,1-39923-A-1.wav,62379ace4cf58d0625a09fa8cf943ce8ab5a99602c20c6f96bacd522e6903e06,train,original,categorized_audio\animal_sound\SS00115_62379ace.wav
SS00116,SS00116_ea7a0ee2.wav,alarm_siren,esc50,1-40154-A-46.wav,ea7a0ee2d9bd383afbe44dbec23fb3688ca0f96fe90758b6d952d3e8ce33513b,test,original,categorized_audio\alarm_siren\SS00116_ea7a0ee2.wav
SS00117,SS00117_5b6f2f37.wav,animal_sound,esc50,1-40730-A-1.wav,5b6f2f3795ac7b2711c39742a77ae7b81017aad43d0a226896cc5d78c87c1b92,test,original,categorized_audio\animal_sound\SS00117_5b6f2f37.wav
SS00118,SS00118_6e8d15a8.wav,background_noise,esc50,1-4211-A-12.wav,6e8d15a855d1622c1f7dcd12e00ba2bfc3b65a316947e1bbdcaa0be0157175db,train,original,categorized_audio\background_noise\SS00118_6e8d15a8.wav
